formats,fonction,nom,statut,parent,wikidata_entity,secteur,licence,referent,composant,mots-clefs,cas-usage,utilisateurs,groupe,version
s.o.,Correction grammaticale,Grammalecte,R,Firefox,Q17629243,Espace utilisateur et canal,GPL-3.0,,Navigateur web,,,,MIMO,0.6.5
s.o.,Lecteur d’écran,NVDA,R,,Q1116614,Espace utilisateur et canal,GPL-2.0-only,,Accessibilité,,,,MIMO,2018.4.1
,Grapheur d'idées,Freeplane,R,,Q3028675,Espace utilisateur et canal,GPL-2.0-only,,Outil de productivité,,,,MIMO,1.7
"POD, XML",Gestion de projet,ProjectLibre,R,,Q580985,Espace utilisateur et canal,CPA,,Outil de productivité,,,,MIMO,1.7
,Compression,7zip,R,,Q215051,Données et contenu,LGPL-2.0-only,,Compression décompression,,,,MIMO,18.05
,Capture d'écran,GreenShot,R,,,Espace utilisateur et canal,GPL,,Consultation et édition de documents,,,,MIMO,1.2.10
s.o.,Synchronisation Sauvegarde,FreeFileSync,R,,Q18150468,Opérations,GPL3,,Synchronisation réplication déduplication,,,,MIMO,10.6
s.o.,"Inventaire, télédéploiement et découverte du réseau",OCS Inventory NG serveur,R,,,Opérations,GPL-2.0-only,,Déploiement gestion d’actif et de configuration,,,,MIMO,2.3
s.o.,"Inventaire, télédéploiement et découverte du réseau",Agent OCS,R,OCS Inventory NG serveur,,Opérations,GPL-2.0-only,,Déploiement gestion d’actif et de configuration,,,,MIMO,2.3.1.3
s.o.,Gestion de parc et suivi d'incidents,GLPI,R,,Q3104570,Opérations,GPL-2.0-only,,Déploiement gestion d’actif et de configuration,,,,MIMO,9.3
s.o.,Rapports supplémentaires à ceux inclus dans GLPI,Reports (rapports),R,GLPI,,Opérations,AGPL-3.0,,Déploiement gestion d’actif et de configuration,,,,MIMO,1.12
s.o.,Export en pdf des fiches GLPI,PDF (impression de pdf),R,GLPI,,Opérations,AGPL-3.0,,Déploiement gestion d’actif et de configuration,,,,MIMO,1.4
s.o.,Automatisation de l'import OCS Inventory-NG,OCS Inventory ng,R,GLPI,,Opérations,GPL-2.0-only+,,Déploiement gestion d’actif et de configuration,,Gestion parc,,MIMO,01/05/04
s.o.,Désinstallation d’objets inventoriés,Uninstall,R,GLPI,,Opérations,GPL-2.0-only+,,Déploiement gestion d’actif et de configuration,,Gestion parc,,MIMO,2.5.1
s.o.,Injection de données dans GLPI à l'aide de fichiers CSV,Data Injection,R,GLPI,,Opérations,GPL-2.0-only+,,Déploiement gestion d’actif et de configuration,,glpi,,MIMO,2.6.4
s.o.,Options de configuration supplémentaires,Behaviors (Comportements),R,GLPI,,Opérations,AGPL-3.0-or-later,,Déploiement gestion d’actif et de configuration,,Gestion des tickets,,MIMO,02/01/01
s.o.,Gestion des stocks et demandes par une entité différente de celles définies pour la délégation de gestion.,Geststock,R,GLPI,,Opérations,,,Déploiement gestion d’actif et de configuration,,Gestion de parc,,MIMO,1.0.0
,Ensemble d’outils destiné à aider les lecteurs débutants ou en difficulté à décoder les mots en utilisant les principes de la lecture en couleur,LireCouleur,R,LibreOffice,,Espace utilisateur et canal,LGPL-v2.1,,Consultation et édition de documents,,,,MIMO,4.7
,Captation vidéo et flux,OBS Studio,R,,,Espace utilisateur et canal,GPL-2.0-only,,Consultation et édition de documents,,,,MIMO,22
,Messagerie instantanée,Rocketchat,R,,Q24050001,Espace utilisateur et canal,,,Messagerie agenda contacts,,,,MIMO,
,Forum,Discourse,R,,Q15054354,Orchestration et logique métier,,,Outil collaboratif,,,,MIMO,
s.o.,Chiffrement de disques,VeraCrypt,O,,Q19911889,Sécurité,AGPL-3.0,,Chiffrement,,,,MIMO,1.2
